name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 4089,,155.7421,-66.9017,,4.99,,STAR B8V,-0.13,,-0.51,,90264,4089,,,,250940
HR 2064,Eps Dor,87.4733,-66.9011,,5.11,,STAR B6V,-0.14,,-0.49,,39844,2064,,0.0120,,249368
HR 8809,,347.5487,-66.8575,,6.47,,STAR K0III,0.95,,0.72,,218558,8809,,,,255420
HR 4530,Mu  Mus,177.0596,-66.8147,,4.72,,STAR K4III,1.54,,1.91,,102584,4530,,0.0130,,251597
HR 7513,,297.4721,-66.8128,,6.45,,STAR K4III,1.48,,1.72,,186584,7513,,,,254658
HR 3537,,132.6450,-66.7931,,5.35,W,STAR F5IV,0.42,,0.07,,76143,3537,,0.0310,,250347
HR 5002,,199.3042,-66.7836,,4.87,,STAR K2I,1.50,,1.58,,115211,5002,,0.0070,,252240
HR 7881,Ups Pav,310.4879,-66.7608,,5.15,,STAR B9III,-0.06,,-0.28,,196519,7881,,,,254854
HR 4520,Lam Mus,176.4017,-66.7286,,3.64,W,STAR A7III,0.16,,0.15,,102249,4520,,,,251575
HR 3813,,142.8871,-66.7194,,6.27,,STAR K1III,1.35,,1.38,,82858,3813,,,,250611
HR 823,,40.8608,-66.7144,,6.26,W,STAR F5V,0.53,,0.01,,17326,823,,0.0100,,248632
HR 3783,,142.1275,-66.7019,,5.91,,STAR A0V,0.01,,-0.02,,82406,3783,,,,250591
HR 7435,,294.9671,-66.6856,,6.39,W,STAR A1V,0.02,,0.04,,184586,7435,,,,254622
HR 1598,,73.3771,-66.6756,,6.41,,STAR M0III,1.63,,1.96,,31754,1598,,,,249138
HR 7278,,289.3000,-66.6614,,5.53,W,STAR A5V,0.18,,0.13,,179366,7278,,,,254515
HR 7130,,285.0146,-66.6533,,6.01,,STAR K0III,0.97,,0.80,,175401,7130,,,,254426
HR 5500,,222.1850,-66.5939,,5.91,W,STAR B2V,-0.07,,-0.70,,129954,5500,,,,252894
HR 5320,,214.1608,-66.5878,,5.75,W,STAR B1III,-0.06,,-0.87,,124471,5320,,,,252678
