name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 8992,,355.9562,-15.2844,,6.36,,STAR M7III,1.58,,0.32,,222800,8992,,,,165849
HR 7186,,285.3896,-15.2825,,6.32,,STAR,1.00,,0.78,,176593,7186,,,,162097
HR 2959,,115.0967,-15.2636,,4.94,,STAR K3II,1.56,,1.80,,61772,2959,,0.0050,,153227
HR 4218,,161.9083,-15.2619,,6.67,,STAR A0III,-0.01,,,,93526,4218,D,0.0120,,156235
HR 8946,,353.7058,-15.2458,,5.96,,STAR K0,1.36,,1.57,,221745,8946,,,,165780
HR 740,76Sig Cet,38.0217,-15.2447,,4.75,,STAR F4IV,0.45,,-0.02,,15798,740,,0.0350,,148445
HR 1120,,55.0475,-15.2267,,6.33,,STAR G5,0.88,,,,22905,1120,,,,149094
HR 8128,29    Cap,318.9371,-15.1714,,5.28,,STAR M3III,1.64,,1.90,,202369,8128,,0.0000,E,164263
HR 2522,,102.2408,-15.1447,,5.39,,STAR B6V,-0.10,,-0.51,,49662,2522,D,0.0040,,151962
HR 2303,,95.9417,-15.0717,,6.24,,STAR K2,1.53,,,,44891,2303,,,,151450
HR 7837,,307.7679,-15.0564,,6.12,W,STAR,0.79,,0.42,,195330,7837,,,,163645
HR 7378,,291.5463,-15.0531,,5.72,,STAR B8V,0.02,,-0.34,,182645,7378,,,,162609
HR 5847,,235.8537,-15.0433,,6.31,,STAR K0IV,1.16,,0.96,,140301,5847,,,E,159461
HR 8890,97    Aqr,350.6633,-15.0392,,5.20,,STAR A3V,0.20,,0.10,,220278,8890,,0.0220,,165658
HR 3374,,128.1387,-15.0294,,6.38,W,STAR F0V,0.27,,0.09,,72462,3374,,,,154373
HR 2268,,94.7033,-15.0247,,6.06,,STAR M0III,1.66,,1.87,,44021,2268,,,E,151346
HR 3675,,138.8537,-15.0247,,6.35,,STAR A0V,0.02,,0.00,,79752,3675,,,,155032
HR 2868,,112.3412,-14.9992,,6.05,,STAR F7V,0.47,,-0.07,,59438,2868,,0.0270,,152943
HR 150,,9.0125,-14.9736,,6.45,,STAR G9III,1.06,,0.91,,3325,150,,,,147360
HR 5277,,211.1125,-14.9717,,6.28,,STAR G6III,1.08,,0.95,,122837,5277,,,,158325
HR 7889,14Tau Cap,309.8183,-14.9547,,5.22,,STAR B6III,-0.12,,,,196662,7889,D,0.0050,,163771
HR 2155,18The Lep,91.5387,-14.9353,,4.67,,STAR A1V,0.05,,0.02,,41695,2155,,0.0120,,151110
HR 3320,,126.4817,-14.9297,,5.98,,STAR A5,0.17,,0.13,,71267,3320,,,,154244
HR 6235,,252.1125,-14.9094,,6.03,,STAR A0V,0.20,,,,151527,6235,,,,160104
HR 6078,,244.7517,-14.8725,,5.94,,STAR K4III,1.52,,1.95,,146850,6078,,,,159846
HR 6302,,254.6733,-14.8697,,6.59,,STAR F3IV,0.40,,0.01,,153229,6302,,,,160205
HR 6959,,278.1804,-14.8656,,5.50,,STAR K3I,1.97,,2.17,,170975,6959,,,,161587
HR 115,,7.4662,-14.8642,,6.14,,STAR F2III,0.37,,,,2630,115,,,,147307
HR 6962,,278.4125,-14.8536,,5.76,,STAR A2V,0.04,,,,171130,6962,,,,161605
HR 6061,,243.9646,-14.8492,,6.09,,STAR A0V,0.06,,0.00,,146254,6061,,,,159821
HR 3903,39Ups1Hya,147.8696,-14.8467,,4.12,,STAR G7III,0.92,,0.65,,85444,3903,,0.0210,,155542
HR 3073,10    Pup,118.0788,-14.8464,,5.69,,STAR F1I,0.37,,0.21,?,64238,3073,,,,153520
HR 5930,,239.1392,-14.8292,,6.13,D,STAR A2III,0.23,,-0.03,,142703,5930,,,,159587
HR 1998,14Zet Lep,86.7387,-14.8219,,3.55,,STAR A3V,0.10,,0.07,,38678,1998,,0.0490,,150801
HR 1607,,74.9021,-14.8058,,7.71,,STAR,5.74,,,,31996,1607,,,,150058
HR 2498,,101.4971,-14.7961,,5.32,,STAR A2V,0.07,,0.12,,49048,2498,,0.0240,,151895
HR 5787,38Gam Lib,233.8817,-14.7894,,3.91,,STAR G8III,1.01,,0.74,,138905,5787,,0.0410,,159370
HR 7775,,305.1942,-14.7850,,6.10,,STAR A0III,-0.02,,-0.11,,193452,7775,,0.0100,,163471
HR 7776,9Bet Cap,305.2529,-14.7814,,3.08,W,STAR F8V,0.79,,0.28,,193495,7776,,0.0100,,163481
HR 4382,12Del Crt,169.8354,-14.7786,,3.56,,STAR G8III,1.12,,0.97,,98430,4382,,0.0240,,156605
HR 8302,45    Cap,326.0042,-14.7494,,5.99,,STAR F0V,0.21,,0.07,,206677,8302,,,,164612
HR 6620,,266.9033,-14.7258,,5.94,,STAR B9,0.05,,-0.32,,161701,6620,,,,160822
HR 3010,2    Pup,116.3712,-14.6908,,6.07,,STAR A2V,0.11,,,,62864,3010,,,,153363
HR 3009,2    Pup,116.3696,-14.6861,,6.89,,STAR A8V,,,,,62863,3009,,,,153362
HR 9090,,0.5304,-14.6761,,7.10,,STAR,1.80,,0.55,,224960,9090,,,,166005
HR 6956,,278.0867,-14.6442,,6.37,S,STAR A4V,0.22,,,,170902,6956,,,,161580
HR 1710,,78.4996,-14.6067,,6.21,,STAR F2III,0.37,,,,34045,1710,,,,150255
HR 7571,,298.2767,-14.6031,,6.48,S,STAR A0V,0.14,,0.09,,187949,7571,,,,163080
HR 412,46    Cet,21.4050,-14.5989,,4.90,,STAR K2III,1.23,,1.26,,8705,412,,0.0070,,147803
HR 8567,56    Aqr,337.5725,-14.5858,,6.37,,STAR B8V,-0.04,,-0.37,,213236,8567,,,,165127
HR 2183,,92.3929,-14.5842,,5.56,,STAR K2III,1.16,,1.20,,42341,2183,,,,151178
HR 6404,,258.8346,-14.5839,,5.99,,STAR K1III,1.10,,,,155970,6404,,,,160402
HR 6932,,277.4450,-14.5817,,5.96,,STAR B9,-0.04,,-0.14,,170397,6932,,,,161528
HR 3687,,139.2812,-14.5736,,5.84,,STAR,1.06,,0.90,,80050,3687,,,,155060
HR 6930,Gam Sct,277.2996,-14.5658,,4.70,,STAR A3V,0.06,,0.06,,170296,6930,,0.0250,,161520
HR 7014,,280.4271,-14.5642,,6.42,,STAR F2I,0.81,,,,172594,7014,,,,161730
HR 3015,4    Pup,116.4871,-14.5639,,5.04,,STAR F0V,0.33,,0.09,,62952,3015,,0.0310,,153372
HR 7379,,291.6025,-14.5511,,6.70,,STAR A1V,0.05,,,,182678,7379,,,,162615
HR 6140,,247.4454,-14.5508,,5.68,,STAR G2III,0.82,,,,148604,6140,,,,159948
HR 796,,40.3917,-14.5494,,5.98,,STAR F5III,0.43,,-0.02,,16825,796,,,,148550
HR 8988,105Ome2Aqr,355.6804,-14.5450,,4.49,,STAR B9V,-0.04,,-0.12,,222661,8988,,0.0410,,165842
HR 2902,,113.4496,-14.5239,,4.97,,STAR M2I,1.41,,0.29,,60414,2902,,-0.0030,,153072
HR 8816,,347.4567,-14.5106,,6.42,,STAR A0V,0.01,,0.01,,218639,8816,,,,165522
HR 2136,,90.6408,-14.4972,,6.20,,STAR G5,0.96,,,,41125,2136,,,,151052
HR 2921,,114.0163,-14.4928,,5.70,,STAR B2V,-0.12,,-0.71,,60855,2921,,,,153118
HR 2021,,87.4021,-14.4836,,5.49,,STAR,0.88,,,,39070,2021,D,0.0090,,150845
HR 8024,,314.6746,-14.4828,,6.01,,STAR F0IV,0.23,,0.11,,199603,8024,,,,164027
HR 8102,,317.9221,-14.4722,,6.48,,STAR F0,0.28,,0.14,,201707,8102,,,,164204
HR 4490,,174.9629,-14.4686,,6.21,,STAR A1V,0.00,,,,101369,4490,,,,156820
HR 2932,,114.4121,-14.4411,,6.53,W,STAR B9III,-0.01,,-0.30,,61224,2932,,,,153172
HR 2504,11    CMa,101.7129,-14.4258,,5.29,,STAR B9III,-0.04,,-0.25,,49229,2504,,,,151919
HR 9029,,357.6388,-14.4019,,5.72,,STAR K4III,1.51,,1.81,,223559,9029,,,,165915
HR 8295,44    Cap,325.7683,-14.3997,,5.88,D,STAR F0IV,0.25,,,,206561,8295,,,,164600
HR 5927,,239.0600,-14.3994,,6.37,,STAR F7V,0.48,,0.08,,142640,5927,,,,159584
HR 1640,,75.9667,-14.3694,,6.41,,STAR B2IV,-0.18,,-0.77,,32612,1640,,,,150109
HR 2796,,110.2425,-14.3600,,5.45,,STAR,0.98,,0.63,,57478,2796,,,,152749
HR 1487,,69.8321,-14.3592,,5.45,,STAR K1IV,1.06,,,,29613,1487,,0.0070,,149797
HR 2897,,113.3421,-14.3383,,6.21,,STAR B1V,-0.04,,-0.71,,60325,2897,,,,153061
HR 3849,38Kap Hya,145.0767,-14.3322,,5.06,,STAR B5V,-0.15,,-0.57,,83754,3849,,,,155388
HR 1481,53    Eri,69.5450,-14.3039,,3.87,W,STAR K2III,1.09,,1.01,,29503,1481,,0.0440,,149781
HR 7454,,294.3933,-14.3017,,5.47,,STAR F5V,0.50,,0.04,,184985,7454,,0.0470,,162827
HR 5941,48    Lib,239.5475,-14.2794,,4.88,,STAR B5III,-0.10,,-0.20,,142983,5941,,,,159607
HR 9037,,358.1250,-14.2511,,5.87,,STAR K3III,1.28,,1.37,,223774,9037,,,,165933
HR 1595,,74.4367,-14.2314,,6.15,,STAR B1V,-0.21,,,,31726,1595,,,,150029
HR 8968,102Ome1Aqr,354.9463,-14.2217,,5.00,,STAR F0IV,0.24,,,,222345,8968,,0.0160,,165818
HR 8462,39    Aqr,333.1075,-14.1939,,6.03,,STAR F2V,0.38,,0.00,,210705,8462,,,,164923
HR 2085,16Eta Lep,89.1012,-14.1678,,3.71,,STAR F1III,0.33,,0.01,,40136,2085,,0.0660,,150957
HR 5523,7Mu  Lib,222.3296,-14.1489,,5.31,,STAR A1,0.07,,-0.05,,130559,5523,,0.0060,,158821
HR 2450,,99.8196,-14.1458,,4.82,,STAR K2II,1.50,,1.68,,47667,2450,,-0.0030,,151751
HR 5896,,237.9100,-14.1336,,6.19,,STAR G8III,1.00,,,,141853,5896,,,,159544
HR 4289,,165.0483,-14.0833,,5.88,,STAR K5III,1.50,,1.82,,95314,4289,,,,156382
HR 5996,,241.7642,-14.0708,,6.32,,STAR G4IV,0.66,,0.24,,144585,5996,,,,159706
HR 8673,69Tau1Aqr,341.9283,-14.0564,,5.66,,STAR A0V,-0.05,,-0.25,,215766,8673,,,,165298
HR 8283,42    Cap,325.3871,-14.0475,,5.18,,STAR G1V,0.65,,0.20,,206301,8283,,0.0340,E,164580
HR 2593,18Mu  CMa,104.0275,-14.0436,,5.00,,STAR G5III,1.18,,,,51250,2593,,-0.0020,,152123
HR 6989,,279.5192,-14.0047,,6.47,,STAR B9IV,0.21,,-0.19,,171957,6989,,,,161687
HR 4190,,160.6304,-13.9750,,6.24,,STAR K2,1.54,,,,92770,4190,,,,156170
HR 6785,,272.4308,-13.9344,,6.39,,STAR K0,1.42,,,,166103,6785,,,,161125
HR 1783,8    Lep,80.8758,-13.9272,,5.25,,STAR B2IV,-0.21,,-0.87,?,35337,1783,,,,150396
HR 3064,9    Pup,117.9429,-13.8981,,5.17,,STAR G0V,0.60,,0.06,,64096,3064,,0.0620,,153500
HR 7367,,291.3400,-13.8969,,5.69,,STAR K3III,1.43,,1.35,,182477,7367,,,,162595
HR 8418,33Iot Aqr,331.6092,-13.8697,,4.27,,STAR B9IV,-0.07,,-0.29,,209819,8418,,,,164861
HR 4776,,188.1500,-13.8592,,5.74,,STAR F2V,0.40,,-0.02,,109141,4776,,,,157350
HR 811,89Pi  Cet,41.0308,-13.8586,,4.25,,STAR B7V,-0.14,,-0.45,,17081,811,,,,148575
HR 3202,18    Pup,122.6658,-13.7992,,5.54,W,STAR F6V,0.49,,0.00,,68146,3202,,0.0470,,153924
HR 1545,,72.4258,-13.7697,,6.26,,STAR F5V,0.44,,-0.05,,30743,1545,,,,149916
HR 4255,,163.5742,-13.7581,,5.66,,STAR G4III,0.83,,,,94481,4255,,,,156310
HR 1769,,80.4625,-13.7561,,6.56,,STAR B8V,-0.09,,-0.48,,35104,1769,,,,150375
HR 2832,,111.2846,-13.7519,,5.78,W,STAR F0V,0.42,,,,58461,2832,,0.0370,,152840
HR 7855,,308.5487,-13.7211,,6.13,,STAR F6V,0.54,,-0.02,,195838,7855,,,,163686
HR 2244,,93.9371,-13.7183,,5.01,,STAR B9V,-0.08,,-0.23,,43445,2244,,,,151283
HR 7532,,297.0125,-13.7033,,6.11,,STAR A6,0.20,,0.13,,186984,7532,,,,162998
HR 1438,,67.8579,-13.6450,,6.21,,STAR A3V,0.12,,0.09,,28763,1438,,,,149702
HR 3959,,150.9208,-9.5739,,6.12,,STAR K0,1.66,,2.01,,87262,3959,,,,137326
HR 7649,63    Sgr,300.4942,-13.6369,,5.71,,STAR A3V,0.08,,,,189741,7649,,0.0200,,163195
HR 8679,71Tau2Aqr,342.3979,-13.5925,,4.01,W,STAR M0III,1.57,,1.95,,216032,8679,,0.0210,,165321
HR 1431,,67.5404,-13.5922,,6.24,,STAR G5,1.00,,0.73,,28625,1431,,,,149682
HR 4123,,157.7492,-13.5883,,5.58,,STAR B9V,-0.04,,-0.16,,91120,4123,,,,156029
HR 4699,,185.2321,-13.5656,,5.14,W,STAR K1III,1.05,,0.89,,107418,4699,,0.0200,,157226
HR 227,,12.3567,-13.5614,,5.59,,STAR K5III,1.30,,1.54,,4730,227,,,,147464
HR 8351,51Mu  Cap,328.3242,-13.5517,,5.08,,STAR F1III,0.37,,-0.01,,207958,8351,,0.0470,,164713
HR 3484,12    Hya,131.5938,-13.5478,,4.32,W,STAR G8III,0.90,,0.62,,74918,3484,,0.0130,,154622
HR 8534,50    Aqr,336.1129,-13.5294,,5.76,,STAR G6III,0.97,,0.71,,212430,8534,,,,165044
HR 1737,,79.4175,-13.5197,,5.50,,STAR,0.93,,0.62,,34538,1737,,,,150304
HR 3802,,143.2325,-13.5169,,5.94,,STAR K5III,1.50,,1.74,,82660,3802,,,,155281
HR 1231,34Gam Eri,59.5075,-13.5086,,2.95,,STAR M0III,1.59,,1.96,,25025,1231,,0.0100,,149283
HR 6600,,265.9525,-13.5086,,6.39,,STAR F0V,0.37,,-0.07,,161023,6600,,,,160784
HR 8866,94    Aqr,349.7779,-13.4589,,5.08,,STAR G5IV,0.80,,0.41,,219834,8866,,0.0400,,165625
HR 4308,,165.9021,-13.4344,,6.34,,STAR G5,0.88,,0.60,,95870,4308,,,,156427
HR 4758,,187.5200,-13.3931,,6.35,,STAR G0V,0.56,,0.05,,108799,4758,,0.0490,,157326
HR 4163,,159.3883,-13.3844,,4.82,,STAR,2.68,,5.78,,92055,4163,,,,156110
HR 5359,100Lam Vir,214.7775,-13.3711,,4.52,D,STAR A2,0.13,,0.12,,125337,5359,,0.0170,,158489
HR 3042,,117.3692,-13.3533,,6.23,,STAR B8III,-0.09,,-0.47,,63655,3042,,,,153449
HR 2428,,99.1946,-13.3208,,5.97,,STAR K5,1.56,,,,47182,2428,,,,151700
HR 8508,45    Aqr,334.7533,-13.3050,,5.95,,STAR,1.06,,0.94,,211676,8508,,,,164996
HR 8134,,319.3062,-13.2789,,6.40,,STAR A2V,0.04,,,,202606,8134,,,,164279
HR 3529,,133.1279,-13.2336,,6.13,,STAR K0,1.14,,1.14,,75916,3529,,,,154704
HR 5106,,203.6687,-13.2144,,5.91,,STAR A2,0.02,,-0.09,,118054,5106,D,0.0070,,158021
HR 4488,24Iot Crt,174.6671,-13.2019,,5.48,W,STAR F7V,0.52,,,,101198,4488,,,,156802
HR 1756,6Lam Lep,79.8938,-13.1767,,4.29,,STAR B0IV,-0.26,,-1.03,,34816,1756,,0.0000,,150340
HR 2373,,97.6446,-13.1481,,6.16,,STAR B1V,-0.15,,,,46064,2373,,,,151585
HR 1661,,76.6529,-13.1219,,6.05,,STAR A0V,-0.06,,,,32996,1661,,,,150149
HR 8741,,344.8987,-13.0708,,6.07,,STAR K5III,1.45,,1.76,,217251,8741,,,,165425
HR 3970,40Ups2Hya,151.2812,-13.0647,,4.60,,STAR B9III,-0.09,,-0.27,,87504,3970,,,,155713
HR 8958,,354.4150,-13.0603,,5.65,,STAR G9III,1.03,,0.83,,222093,8958,,,,165804
HR 421,47    Cet,21.7150,-13.0567,,5.66,,STAR F0III,0.35,,0.02,,8829,421,,,,147812
HR 3289,22    Pup,125.6950,-13.0547,,6.11,,STAR,1.00,,0.89,,70673,3289,,,,154177
HR 1423,,67.2787,-13.0483,,5.60,,STAR B1V,-0.23,,-0.89,,28497,1423,,,,149674
HR 4822,,190.3175,-13.0150,H,5.98,,STAR F5V,0.42,,0.10,,110318,4822,D,0.0140,,157448
HR 4821,,190.3167,-13.0136,H,6.08,,STAR F3V,,,,,110317,4821,D,0.0140,,157447
HR 2437,,99.4204,-12.9850,,6.12,,STAR K0,1.00,,,,47366,2437,,,,151725
HR 2309,,96.0854,-12.9625,,6.12,,STAR B5V,-0.08,,-0.63,,44996,2309,,,,151461
HR 1705,4Kap Lep,78.3079,-12.9414,,4.36,,STAR B9V,-0.10,,-0.37,,33949,1705,,0.0340,,150239
HR 3211,19    Pup,122.8179,-12.9269,,4.72,,STAR G9III,0.95,,0.74,,68290,3211,,0.0310,,153942
HR 8565,,337.5063,-12.9150,,6.40,,STAR F3IV,0.32,,-0.02,,213198,8565,,,,165123
HR 2118,,90.0738,-12.8997,,6.22,,STAR F0,0.36,,,,40745,2118,,,,151011
HR 6309,NOVA 1848,254.8758,-12.8908,,,,CV CLASSICAL NOVA,,,,,,6309,,,,
HR 203,18    Cet,11.3696,-12.8808,,6.15,W,STAR G0V,0.61,,0.10,,4307,203,,,,147432
HR 8187,18    Aqr,321.0479,-12.8781,,5.49,W,STAR F1V,0.29,,,,203705,8187,,,,164364
HR 6581,56Omi Ser,265.3538,-12.8753,,4.26,,STAR A2V,0.08,,0.10,,160613,6581,,0.0060,,160747
HR 6446,53Nu  Ser,260.2071,-12.8469,,4.33,,STAR A2V,0.03,,0.05,,156928,6446,,0.0280,,160479
HR 7166,,284.8492,-12.8406,,5.53,W,STAR B5IV,-0.04,,,,176162,7166,D,0.0060,,162052
HR 5518,,221.9787,-12.8397,,6.35,,STAR K0III,1.10,,0.95,,130325,5518,,,,158808
HR 8496,42    Aqr,334.2004,-12.8314,,5.34,,STAR,1.14,,1.07,,211361,8496,,,,164974
HR 4779,,188.3929,-12.8303,,5.58,,STAR G8III,0.86,,0.45,,109272,4779,,,,157361
HR 3063,8    Pup,117.9204,-12.8194,,6.36,,STAR F2,0.39,,,,64077,3063,,,,153499
HR 3991,,152.5246,-12.8161,,5.31,,STAR F5V,0.36,,0.00,,88215,3991,,0.0280,,155780
HR 1265,,61.0946,-12.7925,,5.61,,STAR,1.08,,0.97,,25723,1265,,,,149351
HR 857,,43.1338,-12.7694,,6.04,,STAR K2V,0.87,,0.56,,17925,857,,0.1210,,148647
HR 7773,8Nu  Cap,305.1658,-12.7592,,4.76,,STAR B9V,-0.05,,-0.11,,193432,7773,,0.0210,,163468
HR 6002,11    Sco,241.9017,-12.7456,,5.78,,STAR B9V,0.01,,,,144708,6002,,,,159715
HR 8337,,327.4213,-12.7231,,6.31,,STAR A3,0.22,,,,207503,8337,,,,164679
HR 5064,68    Vir,201.6800,-12.7078,,5.25,,STAR M0III,1.52,,1.75,,116870,5064,,,,157938
HR 3019,,116.6871,-12.6753,,6.39,,STAR A0V,-0.02,,-0.08,,63112,3019,,,,153389
HR 1062,,52.4000,-12.6747,,5.59,,STAR A5IV,0.17,,0.11,,21688,1062,,,,148985
HR 7675,65    Sgr,301.3600,-12.6653,,6.55,,STAR A1V,0.04,,0.00,,190454,7675,,,,163253
HR 3259,,124.5996,-12.6319,,5.98,,STAR G7V,0.76,,0.33,,69830,3259,,0.0820,,154093
HR 7715,2Xi 2Cap,303.1079,-12.6175,,5.85,W,STAR F7V,0.48,,-0.07,,191862,7715,,0.0370,,163337
HR 31,,2.6783,-12.5800,,5.85,,STAR K0IV,1.01,,0.80,,645,31,,,,147127
HR 1235,,59.8754,-12.5742,,5.60,,STAR K5III,1.48,,1.76,,25165,1235,,,,149299
HR 7976,,312.6742,-12.5450,,5.88,,STAR,1.07,,0.94,,198431,7976,,0.0210,,163924
HR 7754,6Alp2Cap,304.5138,-12.5447,,3.57,,STAR G8III,0.94,,0.69,,192947,7754,,0.0340,,163427
HR 1611,64    Eri,74.9825,-12.5375,,4.79,,STAR F0IV,0.26,,0.16,,32045,1611,,0.0220,,150064
HR 3324,,126.6746,-12.5344,,5.54,,STAR K2III,1.19,,1.14,,71377,3324,,,,154257
HR 4055,,154.8200,-12.5281,,6.00,W,STAR A9V,0.26,,,,89455,4055,,,,155894
HR 6496,,261.7588,-12.5125,,6.21,,STAR F7V,0.51,,,,157968,6496,,,,160553
HR 7747,5Alp1Cap,304.4121,-12.5083,,4.24,,STAR G3I,1.07,,0.78,,192876,7747,,0.0060,,163422
HR 1665,,76.8542,-12.4906,,5.97,,STAR F7V,0.60,,,,33093,1665,,,,150159
HR 3431,6    Hya,130.0063,-12.4753,,4.98,,STAR K4III,1.42,,1.62,,73840,3431,,0.0230,,154515
HR 832,,41.9833,-12.4606,,6.90,,STAR M4III,1.56,,1.37,,17491,832,,,E,148612
HR 4172,,159.7100,-12.4436,,6.04,,STAR A0V,0.00,,,,92245,4172,,,,156124
HR 5173,86    Vir,206.4846,-12.4267,,5.51,,STAR G8III,0.90,,,,119853,5173,,,,158152
HR 2679,,106.6496,-12.3939,,6.48,,STAR O7V,-0.10,,-0.99,,53975,2679,,,,152393
HR 7712,1Xi 1Cap,302.9912,-12.3925,,6.34,,STAR K0III,1.21,,,,191753,7712,,,,163328
HR 2379,,97.8458,-12.3917,,5.15,W,STAR K3III,1.27,,1.38,,46184,2379,,0.0220,,151602
HR 5720,,230.9675,-12.3694,,5.72,,STAR,1.04,,,,136956,5720,,,,159227
HR 3636,,137.2979,-12.3578,,5.77,,STAR G6III,0.94,,,,78668,3636,,,,154953
HR 4416,16Kap Crt,171.7896,-12.3567,,5.94,W,STAR F4III,0.49,,0.03,,99564,4416,,,,156685
HR 3994,41Lam Hya,152.6471,-12.3542,,3.61,,STAR K0III,1.01,,0.92,,88284,3994,,0.0270,,155785
HR 7738,3    Cap,304.0950,-12.3369,,6.32,,STAR B9,0.01,,-0.17,,192666,7738,,,,163402
HR 1757,7Nu  Lep,79.9962,-12.3156,,5.30,,STAR B7IV,-0.12,,-0.40,,34863,1757,,,,150345
HR 5455,,219.2492,-12.3053,,6.20,,STAR F5V,0.46,,-0.03,,128429,5455,,0.0340,,158677
HR 708,72Rho Cet,36.4875,-12.2906,,4.89,,STAR B9V,-0.03,,-0.07,,15130,708,,0.0290,,148385
HR 7282,,288.3146,-12.2825,,5.51,,STAR,1.44,,,,179497,7282,,,,162326
HR 7433,,293.8900,-12.2528,,6.27,,STAR K0,1.09,,,,184574,7433,,,,162797
HR 4158,,159.1350,-12.2303,,5.70,W,STAR F7V,0.52,,0.00,,91889,4158,,0.0480,,156095
HR 88,9    Cet,5.7158,-12.2094,,6.39,W,STAR G2V,0.66,,0.24,,1835,88,,0.0490,,147237
HR 3029,5    Pup,116.9863,-12.1931,,5.48,,STAR,0.48,,-0.02,,63336,3029,D,0.0130,,153414
HR 4547,,177.8412,-12.1878,,6.35,W,STAR F1III,0.40,,,,102990,4547,,,,156940
HR 1483,,69.7233,-12.1231,,5.01,,STAR A2IV,0.07,,0.09,,29573,1483,,0.0280,,149789
HR 1162,26Pi  Eri,56.5354,-12.1017,,4.42,,STAR M2III,1.63,,2.01,,23614,1162,,0.0000,,149158
HR 1217,,58.8179,-12.0992,,6.00,,STAR A5,0.32,,0.03,?,24712,1217,,,,149251
HR 3988,,152.4854,-12.0958,,6.24,,STAR A5,0.18,,0.15,,88182,3988,,,,155777
HR 2574,14The CMa,103.5475,-12.0386,,4.07,,STAR K4III,1.43,,1.70,,50778,2574,,0.0220,,152071
HR 6881,,275.8008,-12.0147,,5.73,,STAR B8IV,0.01,,-0.26,,169033,6881,,,,161415
HR 190,,10.9592,-12.0117,,6.02,,STAR K2III,1.10,,1.09,,4145,190,,,,147422
HR 3706,26    Hya,139.9433,-11.9750,,4.79,W,STAR G8III,0.93,,0.64,,80499,3706,,0.0230,,155096
HR 3446,,130.5408,-11.9661,,6.45,,STAR A5,0.16,,0.13,,74190,3446,,,,154558
HR 9009,,356.8163,-11.9108,,5.73,,STAR,1.08,,0.97,,223170,9009,,,,165880
HR 1817,,81.7700,-11.9008,,6.35,,STAR,0.51,,0.01,,35850,1817,,,,150461
HR 5554,13Xi 1Lib,223.5954,-11.8983,,5.80,,STAR G7III,0.97,,0.72,,131530,5554,,,E,158887
HR 781,83Eps Cet,39.8908,-11.8722,,4.84,W,STAR F5V,0.45,,-0.01,,16620,781,,0.0720,,148528
HR 1696,3Iot Lep,78.0746,-11.8692,,4.45,,STAR B8V,-0.10,,-0.40,,33802,1696,,,,150223
HR 1693,,77.8450,-11.8492,,5.68,,STAR M6III,1.46,,1.23,,33664,1693,,,,150206
HR 6048,17Chi Sco,243.4621,-11.8375,,5.22,,STAR K3III,1.42,,1.54,,145897,6048,,0.0290,,159793
HR 1125,,55.3075,-11.8031,,6.49,W,STAR F5II,0.36,,0.02,?,23010,1125,,,,149107
HR 6278,,253.6679,-11.7925,,6.57,,STAR A2IV,0.14,,,,152585,6278,,,,160159
HR 1919,,84.2867,-11.7756,,6.11,,STAR A2V,0.05,,,,37306,1919,,,,150617
HR 2065,,88.6817,-11.7739,,5.66,,STAR K5III,1.53,,1.84,,39853,2065,,,,150932
HR 2284,,95.3529,-11.7733,,5.64,,STAR B1V,-0.02,,-0.85,,44458,2284,,,,151401
HR 4160,,159.2983,-11.7486,,6.52,,STAR F0V,0.29,,,,91992,4160,,,,156105
HR 5383,2    Lib,215.8567,-11.7142,,6.21,,STAR G7III,0.99,,,,126035,5383,,,,158528
HR 8856,,349.4167,-11.7131,,6.34,,STAR A1V,0.05,,0.01,,219659,8856,,,,165609
HR 8979,,355.2871,-11.6806,,5.89,,STAR G9III,1.00,,0.78,,222493,8979,,,E,165828
HR 5393,,216.1704,-11.6697,,6.49,,STAR F4III,0.42,,0.04,,126251,5393,D,0.0120,,158550
HR 4901,,193.5779,-11.6486,,6.00,D,STAR A2V,0.08,,,,112131,4901,,,,157584
HR 8704,74    Aqr,343.3696,-11.6167,,5.80,S,STAR B9III,-0.08,,-0.31,,216494,8704,,,,165359
HR 4722,,186.2988,-11.6103,,5.95,,STAR A1V,0.03,,,,108107,4722,,,,157272
HR 7671,,301.2725,-11.5994,,6.34,W,STAR F1III,0.52,,,,190390,7671,,,,163245
HR 7994,,313.2733,-11.5736,,6.38,S,STAR G1V,0.67,,0.14,,198802,7994,,,,163953
HR 8212,,322.0579,-11.5683,,6.61,,STAR F3V,0.49,,,,204363,8212,,,,164415
HR 8452,38    Aqr,332.6562,-11.5650,,5.46,,STAR B7III,-0.12,,,,210424,8452,,,,164910
HR 2859,,111.9654,-11.5569,,5.79,,STAR G8I,0.58,,-0.21,,59067,2859,,,,152909
HR 2305,,96.0429,-11.5303,,5.22,,STAR K3III,1.24,,1.20,,44951,2305,,0.0160,,151458
HR 8917,,352.0217,-11.4497,,6.37,,STAR G0V,0.90,,0.56,,220957,8917,,,,165708
HR 5564,15Xi 2Lib,224.1921,-11.4097,,5.46,,STAR K4III,1.49,,1.70,,131918,5564,,,,158915
HR 279,23Phi4Cet,14.6829,-11.3800,,5.61,,STAR G7III,0.97,,0.66,,5722,279,,,,147546
HR 5978,Xi  Sco,241.0921,-11.3731,H,4.77,,STAR F5IV,0.47,,0.01,,144070,5978,,0.0480,,159665
