star_name,star_constellation,star_other_name
HD 153336,Ophiuchus,"HR 6308, HIP 83176, TYC 6814-252-1, Gaia EDR3- 4112977922408078848"
HD 175360,Sagittarius,"HR 7128, HIP 92931, TYC 6860-1192-1, Gaia EDR3- 4075621946120022912"
HD 124425,Virgo,"HR 5317, HIP 69493, TYC 4976-1277-1, Gaia EDR3- 3647845574239719936"
HD 156091,Ara,"HR 6408, HIP 84731, TYC 8739-2859-1, Gaia EDR3- 5915562326274099584"
HD 127739,Bootes,"26-Boo, HR 5434, HIP 71115, TYC 1482-1131-1, Gaia EDR3- 1242299881411548544"
HD 120084,Ursa Minor,"HR 5184, HIP 66903, TYC 4561-2319-1, Gaia EDR3- 1715055487257379968"
HD 114835,Centaurus,"HR 4988, HIP 64580, TYC 8661-1320-1, Gaia EDR3- 6062236185335301888"
HD 3823,Tucana,"HR 176, HIP 3170, TYC 8472-1356-1, Gaia EDR3- 4906784051581971200"
HD 7389,Cassiopeia,"HR 365, HIP 5926, TYC 4305-2038-1, Gaia EDR3- 534889699426804224"
HD 57615,Canis Major,"HR 2802, HIP 35626, TYC 6541-2135-1, Gaia EDR3- 5616215788793994240"
HD 154228,Hercules,"HR 6341, NSV 8152, HIP 83478, TYC 988-1952-1, Gaia EDR3- 4544581007015320576"
HD 82513,Antlia,"ζ²-Ant, HR 3789, HIP 46734, TYC 7154-1728-1"
HD 25680,Taurus,"A²-Tau, 39-Tau, HR 1262, NSV 1452, HIP 19076, TYC 1262-1646-1, Gaia EDR3- 53112944270520832"
HD 195554,Cygnus,"HR 7843, NSV 13115, HIP 101084, TYC 3954-612-1, Gaia EDR3- 2186922756428117632"
HD 195324,Cygnus,"42-Cyg, HR 7835, HIP 101067, TYC 2697-1635-1, Gaia EDR3- 2056972679739120000"
HD 23738,Fornax,"σ-For, HR 1171, HIP 17618, TYC 6454-1206-1, Gaia EDR3- 5080104261356834304"
HD 70011,Cancer,"λ-Cnc, 19-Cnc, HR 3268, HIP 40881, TYC 1928-1817-1, Gaia EDR3- 679023579196041856"
HD 103596,Hydra,"HR 4565, HIP 58158, TYC 6678-570-1, Gaia EDR3- 3486169330043371904"
HD 91130,Leo Minor,"33-LMi, HR 4124, HIP 51556, TYC 2511-1306-1, Gaia EDR3- 748464095040526336"
HD 23887,Eridanus,"HR 1182, HIP 17805, TYC 65-985-1, Gaia EDR3- 3257625117972084224"
HD 184035,Sagittarius,"V4089 Sgr, HR 7422, HIP 96234, TYC 7936-2270-1, Gaia EDR3- 6737592476585914880"
HD 130055,Centaurus,"HR 5508, HIP 72296, TYC 7819-2820-1, Gaia EDR3- 6105450462589820288"
HD 22468,Taurus,"V711 Tau, HR 1099, HIP 16846, TYC 64-1568-1, Gaia EDR3- 3263936692671872384"
HD 67224,Lynx,"HR 3175, HIP 39995, TYC 3802-2060-1, Gaia EDR3- 1083221954989680000"
HD 35520,Auriga,"HR 1795, HIP 25471, TYC 2411-684-1, Gaia EDR3- 182820784811946752"
HD 4211,Sculptor,"λ²-Scl, HR 195, HIP 3456, TYC 7532-1040-1, Gaia EDR3- 5000702410680381824"
HD 156384,Scorpius,"HR 6426, NSV 8482, HIP 84709"
HD 126862,Circinus,"HR 5408, HIP 71002, TYC 9257-1946-1"
HD 216756,Lacerta,"HR 8718, HIP 113174, TYC 2761-883-1, Gaia EDR3- 1927715845118203520"
HD 32515,Caelum,"HR 1635, HIP 23446, TYC 7047-1075-1, Gaia EDR3- 4875252016602964352"
HD 11037,Pisces,"HR 527, HIP 8404, TYC 32-773-1, Gaia EDR3- 2512824943566639232"
HD 143928,Lupus,"HR 5975, HIP 78747, TYC 7851-1743-1, Gaia EDR3- 5998513610949980544"
HD 15335,Triangulum,"13-Tri, HR 720, HIP 11548, TYC 1778-1523-1"
HD 91437,Vela,"HR 4139, HIP 51610, TYC 7722-2653-1, Gaia EDR3- 5367425581914388864"
HD 82347,Carina,"HR 3776, HIP 46482, TYC 8945-2564-1, Gaia EDR3- 5250625629935956608"
HD 98366,Leo,"76-Leo, HR 4381, HIP 55249, TYC 263-1172-1, Gaia EDR3- 3810683933508116736"
HD 218804,Andromeda,"6-And, HR 8825, HIP 114430, TYC 3229-3137-1"
HD 216200,Lacerta,"V360 Lac, 14-Lac, HR 8690, HIP 112778, TYC 3223-3619-1"
HD 27322,Camelopardalis,"HR 1342, HIP 20380, TYC 3727-1326-1, Gaia EDR3- 276872665859374336"
HD 153890,Scorpius,"V923 Sco, HR 6327, HIP 83491, TYC 7869-920-1, Gaia EDR3- 5976304987919824384"
HD 169830,Sagittarius,"HR 6907, HIP 90485, TYC 6869-1277-1, Gaia EDR3- 4048037707717866880"
HD 149886,Scorpius,"HR 6178, HIP 81523, TYC 7358-409-1, Gaia EDR3- 6019397116350518528"
HD 18778,Cepheus,"HR 906, NSV 1042, HIP 14844, TYC 4520-1237-1, Gaia EDR3- 568421574254377728"
HD 60652,Lynx,"HR 2914, HIP 37140, TYC 3409-2594-1, Gaia EDR3- 975871343370741248"
HD 82536,Carina,"HR 3793, NSV 4516, HIP 46620, TYC 8596-575-1"
HD 73143,Cancer,"c-Cnc, 36-Cnc, HR 3406, HIP 42265, TYC 801-1428-1, Gaia EDR3- 599730751970496640"
HD 64225,Puppis,"HR 3071, HIP 38267, TYC 8142-2596-1, Gaia EDR3- 5516988609586984704"
HD 212320,Aquarius,"HR 8530, HIP 110532, TYC 5232-1730-1"
HD 133388,Draco,"HR 5608, NSV 6899, HIP 73507, TYC 4180-1945-1"
HD 36780,Orion,"HR 1874, HIP 26108, TYC 4766-1915-1"
HD 18769,Aries,"49-Ari, HR 905, NSV 1021, HIP 14109, TYC 1790-1709-1, Gaia EDR3- 115302421446877184"
HD 13940,Phoenix,"HR 659, HIP 10440, TYC 7554-1144-1, Gaia EDR3- 4962999572849694592"
HD 40084,Auriga,"HR 2081, HIP 28343, TYC 3369-1034-1, Gaia EDR3- 211315178399395328"
HD 121164,Canes Venatici,"HR 5229, HIP 67782, TYC 2005-305-1, Gaia EDR3- 1452083298377571072"
HD 16176,Andromeda,"HR 756, HIP 12181, TYC 2832-2581-1"
HD 114371,Musca,"HR 4966, HIP 64390, TYC 9245-1220-1, Gaia EDR3- 5843943613492830720"
HD 179433,Corona Australis,"HR 7281, HIP 94556, TYC 8375-2570-1, Gaia EDR3- 6664513023928273280"
HD 199766,Equuleus,"ε-Equ, 1-Equ, HR 8034, HIP 103569, TYC 521-2814-1"
HD 32263,Orion,"HR 1618, NSV 1806, HIP 23408, TYC 98-2442-1, Gaia EDR3- 3228620241748261248"
HD 128750,Bootes,"HR 5462, HIP 71571, TYC 1480-657-1, Gaia EDR3- 1235912096811203968"
HD 203399,Cepheus,"HR 8168, HIP 104968, TYC 4590-1852-1, Gaia EDR3- 2278464551206789504"
HD 111884,Centaurus,"HR 4885, HIP 62861, TYC 8651-2437-1, Gaia EDR3- 6073719656523326848"
HD 42954,Orion,"HR 2214, HIP 29616, TYC 1318-1195-1, Gaia EDR3- 3373350984539772032"
HD 119938,Centaurus,"HR 5175, HIP 67292, TYC 8270-2682-1, Gaia EDR3- 6069653971763801344"
HD 103516,Centaurus,"HR 4563, HIP 58103, TYC 8977-9433-1, Gaia EDR3- 5333074089931966592"
HD 114447,Canes Venatici,"17-CVn, HR 4971, HIP 64246, TYC 3022-2310-1, Gaia EDR3- 1523092817316419712"
HD 194612,Octans,"HR 7812, HIP 101843, TYC 9472-923-1, Gaia EDR3- 6349168278717707008"
HD 8810,Hydrus,"HR 420, HIP 6631, TYC 8852-1459-1, Gaia EDR3- 4711964609912834176"
HD 4627,Pisces,"62-Psc, HR 221, HIP 3760, TYC 17-1413-1, Gaia EDR3- 2556745141696841984"
HD 154783,Scorpius,"HR 6366, HIP 83896, TYC 7361-799-1, Gaia EDR3- 6028755231679573120"
HD 90044,Sextans,"SS Sex, 25-Sex, HR 4082, HIP 50885, TYC 4908-1775-1, Gaia EDR3- 3779604381923079808"
HD 144204,Draco,"HR 5981, HIP 78542, TYC 3877-2416-1, Gaia EDR3- 1404761795386873344"
HD 45976,Monoceros,"HR 2367, HIP 30986, TYC 5368-1385-1, Gaia EDR3- 3002827591886705664"
HD 120565,Camelopardalis,"HR 5203, HIP 66878, TYC 4633-1786-1, Gaia EDR3- 1725211190830828672"
HD 25371,Eridanus,"HR 1246, HIP 18723, TYC 7030-1577-1"
HD 37788,Orion,"HR 1955, HIP 26762, TYC 115-2291-1, Gaia EDR3- 3219350499733864448"
HD 149650,Draco,"HR 6170, HIP 80991, TYC 4190-2569-1, Gaia EDR3- 1625248992408317952"
HD 19845,Perseus,"HR 956, HIP 15004, TYC 3315-2530-1, Gaia EDR3- 435535938955017984"
HD 147934,Ophiuchus,"ρ-Oph, 5-Oph, HR 6113"
HD 57006,Canis Minor,"HR 2779, HIP 35509, TYC 176-3592-1, Gaia EDR3- 3142758588463986432"
HD 165259,Apus,"HR 6751, HIP 89234, TYC 9302-2069-1, Gaia EDR3- 6417978327725636096"
HD 199612,Cygnus,"HR 8026, HIP 103360, TYC 3583-1166-1, Gaia EDR3- 2168772460856481792"
HD 156247,Ophiuchus,"U Oph, U-Oph, 38-Oph, HR 6414, HIP 84500, TYC 400-1862-1"
HD 9640,Pisces,"HR 450, HIP 7359, TYC 1201-1726-1, Gaia EDR3- 95720424297833600"
HD 96834,Ursa Major,"HR 4336, NSV 5107, HIP 54537, TYC 3012-2521-1, Gaia EDR3- 778732619360714752"
HD 187086,Telescopium,"HR 7537, NSV 12432, HIP 97598, TYC 8394-1872-1, Gaia EDR3- 6671409195215967616"
HD 157097,Scorpius,"HR 6456, HIP 85048, TYC 7374-460-1, Gaia EDR3- 5974386614974129536"
HD 207964,Indus,"HR 8352, HIP 108195, TYC 9116-2070-1"
HD 147225,Norma,"HR 6085, HIP 80212, TYC 7865-2682-1, Gaia EDR3- 5992149225369945344"
HD 138265,Draco,"HR 5755, HIP 75696, TYC 4181-1850-1, Gaia EDR3- 1615529687576202880"
HD 85953,Vela,"HR 3924, HIP 48527, TYC 8193-3330-1, Gaia EDR3- 5405648557484169344"
HD 161701,Serpens Cauda,"HR 6620, HIP 87074, TYC 5673-979-1, Gaia EDR3- 4149117770115782016"
HD 147352,Hercules,"HR 6090, HIP 79953, TYC 3495-1892-1, Gaia EDR3- 1423245238684739584"
HD 145085,Serpens Caput,"HR 6011, HIP 79120, TYC 371-1625-1, Gaia EDR3- 4413182426830873984"
HD 219507,Grus,"HR 8846, HIP 114921, TYC 8012-1011-1, Gaia EDR3- 6529543092533186816"
HD 20606,Fornax,"HR 993, HIP 15357, TYC 6445-226-1"
HD 182190,Draco,"HR 7356, HIP 95038, TYC 3929-2038-1"
HD 157819,Ara,"HR 6487, HIP 85520, TYC 8732-1958-1, Gaia EDR3- 5922842197069679488"
HD 200817,Cygnus,"HR 8078, HIP 103956, TYC 3952-1091-1"
HD 145838,Scorpius,"HR 6044, HIP 79596, TYC 7347-962-1, Gaia EDR3- 6035602508977758464"
HD 61603,Gemini,"HR 2951, HIP 37428, TYC 1912-48-1, Gaia EDR3- 867070063597368064"
HD 151967,Ara,"HR 6251, HIP 82672, TYC 8734-174-1, Gaia EDR3- 5915441830990911488"
HD 150682,Hercules,"39-Her, HR 6213, HIP 81729, TYC 2053-1366-1, Gaia EDR3- 1301518718691599744"
HD 49095,Canis Major,"HR 2500, HIP 32366, TYC 7088-486-1, Gaia EDR3- 5584019442620181760"
HD 35239,Auriga,"HR 1776, HIP 25291, TYC 2403-781-1, Gaia EDR3- 3447260808994651008"
HD 20618,Aries,"59-Ari, HR 995, HIP 15514, TYC 1792-1419-1, Gaia EDR3- 118389162902876928"
HD 59984,Monoceros,"HR 2883, HIP 36640, TYC 5397-3754-1, Gaia EDR3- 3053492881541641600"
HD 110646,Virgo,"HR 4837, HIP 62103, TYC 4949-1114-1, Gaia EDR3- 3683485350301204992"
HD 94132,Ursa Major,"HR 4243, HIP 53257, TYC 4385-570-1, Gaia EDR3- 1072822327337442432"
HD 55866,Lynx,"HR 2737, HIP 35304, TYC 3404-974-1, Gaia EDR3- 986570656661153792"
HD 120048,Canes Venatici,"HR 5180, HIP 67210, TYC 3026-1230-1, Gaia EDR3- 1496458831762164480"
HD 131425,Apus,"HR 5547, HIP 73415, TYC 9432-2012-1, Gaia EDR3- 5791761096554723072"
HD 94776,Carina,"T Car, T-Car, HR 4271, HIP 53394, TYC 8958-1032-1, Gaia EDR3- 5338215681180269824"
HD 222493,Aquarius,"HR 8979, HIP 116853, TYC 5833-394-1, Gaia EDR3- 2432909346083636096"
HD 108107,Virgo,"HR 4722, HIP 60595, TYC 5529-1713-1, Gaia EDR3- 3576836467618851456"
HD 53686,Gemini,"HR 2665, HIP 34358, TYC 2446-1997-1, Gaia EDR3- 891283714823481472"
HD 214878,Lacerta,"HR 8633, HIP 111925, TYC 3984-1047-1, Gaia EDR3- 2003121005396125184"
HD 179527,Lyra,"V471 Lyr, 19-Lyr, HR 7283, HIP 94311, TYC 2640-2019-1, Gaia EDR3- 2042565400924276736"
HD 61774,Puppis,"HR 2960, HIP 37364, TYC 5988-3103-1, Gaia EDR3- 5716372364545313280"
HD 114326,Coma Berenices,"HR 4962, HIP 64226, TYC 1451-519-1, Gaia EDR3- 3937070218141303552"
HD 319,Cetus,"HR 12, NSV 46, HIP 636, TYC 6412-1067-1, Gaia EDR3- 2340329539312677888"
HD 8556,Cetus,"HR 404, HIP 6564, TYC 4684-2325-1, Gaia EDR3- 2478536467296884864"
HD 214995,Pegasus,"HR 8642, HIP 112067, TYC 1158-345-1, Gaia EDR3- 2732372367384490880"
HD 151862,Hercules,"HR 6246, HIP 82350, TYC 974-1774-1, Gaia EDR3- 4449357115297455872"
HD 125283,Centaurus,"HR 5357, HIP 69995, TYC 7294-2472-1, Gaia EDR3- 6117782859888638464"
HD 152527,Ara,"HR 6275, HIP 82902, TYC 8339-3559-1, Gaia EDR3- 5936016579802251008"
HD 158261,Hercules,"HR 6506, HIP 85382, TYC 2613-2217-1, Gaia EDR3- 1335756411268494080"
HD 193664,Draco,"HR 7783, HIP 100017, TYC 4245-1794-1, Gaia EDR3- 2246581329639103872"
HD 26171,Taurus,"HR 1284, HIP 19376, TYC 678-417-1"
HD 90454,Carina,"HR 4095, HIP 50993, TYC 8612-64-1, Gaia EDR3- 5255568518826483840"
HD 2952,Cassiopeia,"HR 135, HIP 2611, TYC 3658-583-1, Gaia EDR3- 418206501834841600"
HD 24706,Horologium,"HR 1216, HIP 18199, TYC 8067-2458-1"
HD 182286,Sagittarius,"HR 7360, HIP 95456, TYC 6888-2980-1, Gaia EDR3- 6758695781216207488"
HD 186377,Cygnus,"HR 7502, HIP 96977, TYC 2660-4230-1, Gaia EDR3- 2034805975597833856"
HD 42049,Gemini,"HR 2169, HIP 29196, TYC 1326-1732-1, Gaia EDR3- 3423506272593153152"
HD 23526,Taurus,"HR 1159, HIP 17595, TYC 71-1223-1, Gaia EDR3- 3276860524145383040"
HD 141472,Draco,"HR 5878, HIP 77272, TYC 3873-1890-1, Gaia EDR3- 1598335043705057280"
HD 163336,Serpens Cauda,"HR 6681, HIP 87813, TYC 6250-386-1"
HD 122438,Centaurus,"HR 5266, HIP 68670, TYC 8669-824-1, Gaia EDR3- 5871555889550055936"
HD 17793,Fornax,"η²-For, HR 848, HIP 13225, TYC 7018-364-1"
HD 139891,Corona Borealis,"ζ¹-CrB, 7-CrB, HR 5833, HIP 76669, TYC 2577-1753-1, Gaia EDR3- 1374695306328813696"
HD 11257,Aries,"54-Cet, HR 534, NSV 635, HIP 8588, TYC 625-1392-1, Gaia EDR3- 2574158313504213504"
HD 7147,Cetus,"34-Cet, HR 353, HIP 5594, TYC 4681-2471-1, Gaia EDR3- 2531931157122730368"
HD 177517,Sagittarius,"HR 7230, HIP 93763, TYC 6283-916-1, Gaia EDR3- 4089044096883303168"
HD 37481,Orion,"HR 1933, HIP 26535, TYC 4779-672-1, Gaia EDR3- 3016904707975752448"
HD 126200,Bootes,"HR 5388, NSV 6654, HIP 70384, TYC 909-1494-1"
HD 129153,Bootes,"HR 5473, HIP 71759, TYC 917-1472-1, Gaia EDR3- 1179640088134099456"
HD 62066,Camelopardalis,"51-Cam, HR 2975, HIP 37949, TYC 4121-1515-1, Gaia EDR3- 1095540363575300480"
HD 56410,Puppis,"HR 2759, HIP 35054, TYC 7638-1849-1, Gaia EDR3- 5561088745368683776"
HD 186408,Cygnus,"c-Cyg, 16-Cyg, HR 7503, HIP 96895, TYC 3565-1524-1, Gaia EDR3- 2135550755683405952"
HD 38091,Camelopardalis,"26-Cam, HR 1969, NSV 2615, HIP 27249, TYC 3753-1367-1, Gaia EDR3- 268536134330778624"
HD 118054,Virgo,"y-Vir, HR 5106, NSV 6316, HIP 66247, TYC 5551-1507-1, Gaia EDR3- 3609826008340181632"
HD 99564,Crater,"κ-Crt, 16-Crt, HR 4416, HIP 55874, TYC 5512-1093-1, Gaia EDR3- 3562324219802017152"
HD 38529,Orion,"HR 1988, HIP 27253, TYC 116-1316-1, Gaia EDR3- 3219847066672970368"
HD 63786,Puppis,"HR 3049, NSV 3756, HIP 38167, TYC 7127-2094-1, Gaia EDR3- 5587549459067657472"
HD 72945,Cancer,"HR 3395, HIP 42172, TYC 222-1709-1, Gaia EDR3- 594989348593414016"
HD 99333,Centaurus,"HR 4411, HIP 55763, TYC 7739-315-1, Gaia EDR3- 5397652084272244480"
HD 223128,Cepheus,"HR 9005, HIP 117265, TYC 4293-564-1, Gaia EDR3- 2209979343467610496"
HD 59067,Canis Major,"HR 2859, NSV 3600, HIP 36251, TYC 5404-4372-1"
HD 93655,Sextans,"HR 4224, HIP 52863, TYC 4913-1225-1, Gaia EDR3- 3802624032239788544"
HD 26038,Taurus,"HR 1280, HIP 19284, TYC 1254-867-1, Gaia EDR3- 46741446184164224"
HD 139225,Serpens Caput,"τ⁵-Ser, 18-Ser, HR 5804, HIP 76424, TYC 1494-1862-1, Gaia EDR3- 1195417147984566528"
HD 121853,Centaurus,"HR 5251, HIP 68333, TYC 8271-967-1, Gaia EDR3- 6090521362429611136"
HD 52312,Monoceros,"HR 2624, HIP 33729, TYC 5380-2596-1, Gaia EDR3- 3050810451128017792"
HD 95849,Leo,"p³-Leo, 62-Leo, HR 4306, HIP 54049, TYC 4921-1203-1, Gaia EDR3- 3804603462407805824"
HD 21755,Taurus,"HR 1067, HIP 16358, TYC 70-1335-1, Gaia EDR3- 3276200611007897472"
HD 4293,Phoenix,"HR 198, HIP 3521, TYC 7538-126-1, Gaia EDR3- 4980885465937049728"
HD 11413,Phoenix,"BD Phe, HR 541, HIP 8593, TYC 8047-1320-1, Gaia EDR3- 4940552596292014336"
HD 51000,Gemini,"HR 2586, NSV 3289, HIP 33421, TYC 2441-1961-1, Gaia EDR3- 939067940410703744"
HD 112219,Musca,"HR 4907, HIP 63165, TYC 9249-457-1, Gaia EDR3- 5841939719180276608"
HD 18149,Fornax,"ψ-For, HR 863, HIP 13473, TYC 7560-11-1, Gaia EDR3- 5045597669467027200"
HD 208741,Octans,"HR 8380, HIP 108849, TYC 9475-2323-1, Gaia EDR3- 6358005362906955264"
HD 87283,Carina,"HR 3960, HIP 49164, TYC 8943-3446-1, Gaia EDR3- 5256592851360289408"
HD 2626,Cassiopeia,"HR 113, HIP 2377, TYC 3666-1063-1"
HD 204585,Pegasus,"HR 8223, NSV 13740, HIP 106062, TYC 1676-1905-1"
HD 9906,Sculptor,"τ-Scl, HR 462, HIP 7463, TYC 6428-2436-1"
HD 9228,Sculptor,"HR 436, HIP 7016, TYC 6426-2065-1, Gaia EDR3- 5036834080756453248"
HD 196753,Vulpecula,"HR 7895, HIP 101870, TYC 2157-559-1, Gaia EDR3- 1819326366813174784"
HD 10975,Andromeda,"HR 521, HIP 8423, TYC 2815-1900-1, Gaia EDR3- 343449606741529728"
HD 162774,Ophiuchus,"HR 6667, NSV 9800, HIP 87491, TYC 417-1102-1, Gaia EDR3- 4372639309947834624"
HD 101162,Musca,"HR 4485, HIP 56727, TYC 9226-2099-1, Gaia EDR3- 5235843726912200576"
HD 28204,Camelopardalis,"HR 1401, HIP 21247, TYC 4337-843-1, Gaia EDR3- 500845452173512064"
HD 176664,Telescopium,"HR 7190, HIP 93624, TYC 8386-1154-1, Gaia EDR3- 6657877295157796352"
HD 78935,Ursa Major,"HR 3645, HIP 45461, TYC 4382-1057-1, Gaia EDR3- 1120722620121914880"
HD 151732,Hercules,"V636 Her, HR 6242, HIP 82172, TYC 3078-360-1, Gaia EDR3- 1356590369907866496"
HD 70569,Cancer,"d¹-Cnc, 20-Cnc, HR 3284, HIP 41117, TYC 1382-86-1"
HD 171856,Sagittarius,"HR 6988, HIP 91347, TYC 6279-1724-1, Gaia EDR3- 4079636675440568960"
HD 210702,Pegasus,"HR 8461, HIP 109577, TYC 1681-1751-1, Gaia EDR3- 1775004778213735168"
HD 36162,Orion,"HR 1832, HIP 25790, TYC 1297-1552-1, Gaia EDR3- 3390049198910034560"
HD 60294,Lynx,"HR 2894, HIP 37046, TYC 3786-1560-1, Gaia EDR3- 986087180781907712"
HD 18071,Eridanus,"HR 862, HIP 13479, TYC 5870-980-1, Gaia EDR3- 5079059656590819584"
HD 6116,Andromeda,"39-And, HR 290, HIP 4903, TYC 2807-2079-1"
HD 138867,Apus,"HR 5786, HIP 76877, TYC 9429-3365-1"
HD 27179,Eridanus,"HR 1332, HIP 19996, TYC 4732-1969-1, Gaia EDR3- 3202157848727653760"
HD 215030,Lacerta,"HR 8643, HIP 112041, TYC 3222-1935-1, Gaia EDR3- 1932600700404100864"
HD 189684,Cygnus,"HR 7646, HIP 98383, TYC 3558-2565-1, Gaia EDR3- 2085224321778525696"
HD 216380,Cepheus,"HR 8696, HIP 112864, TYC 4265-942-1, Gaia EDR3- 2206895488230107776"
HD 100343,Crater,"HR 4446, HIP 56318, TYC 5509-1126-1, Gaia EDR3- 3592801926209668480"
HD 210762,Pegasus,"HR 8466, HIP 109602, TYC 2209-2198-1, Gaia EDR3- 1879572044868061952"
HD 20675,Perseus,"HR 1001, HIP 15669, TYC 3319-2075-1, Gaia EDR3- 435646474233078144"
HD 61887,Canis Minor,"HR 2966, NSV 3689, HIP 37478, TYC 183-1552-1, Gaia EDR3- 3136992302813412608"
HD 13468,Cetus,"63-Cet, HR 639, HIP 10234, TYC 4690-1109-1, Gaia EDR3- 2494336311948357504"
HD 217563,Aquarius,"HR 8759, HIP 113686, TYC 5245-1215-1, Gaia EDR3- 2635933029985529472"
HD 79763,Ursa Major,"HR 3676, HIP 45590, TYC 3425-1595-1, Gaia EDR3- 1011264588308575232"
HD 77104,Cancer,"66-Cnc, HR 3587, HIP 44307, TYC 2492-1845-1, Gaia EDR3- 712054695201335296"
HD 200073,Microscopium,"HR 8046, HIP 103836, TYC 7965-1006-1, Gaia EDR3- 6774368627975155968"
HD 153368,Scorpius,"HR 6311, HIP 83235, TYC 7372-335-1, Gaia EDR3- 5977574167957621504"
HD 21430,Fornax,"HR 1045, HIP 16029, TYC 6449-1321-1, Gaia EDR3- 5060693998477478528"
HD 28479,Eridanus,"HR 1421, HIP 20892, TYC 5894-1636-1, Gaia EDR3- 5092072926459785216"
HD 28413,Reticulum,"HR 1416, HIP 20619, TYC 8869-2460-1, Gaia EDR3- 4678169230247995776"
HD 170920,Serpens Cauda,"61-Ser, HR 6957, HIP 90844, TYC 5112-348-1, Gaia EDR3- 4272013655042039040"
HD 132525,Virgo,"HR 5584, HIP 73350, TYC 330-1717-1, Gaia EDR3- 1155163241313019776"
HD 85709,Sextans,"HR 3915, HIP 48519, TYC 243-1975-1, Gaia EDR3- 3850353866361434368"
HD 70652,Hydra,"HR 3288, HIP 41080, TYC 5427-2807-1, Gaia EDR3- 3063169992609073152"
HD 7312,Sculptor,"AI Scl, HR 359, HIP 5661, TYC 7534-1069-1, Gaia EDR3- 4988805179472314368"
HD 223524,Aquarius,"HR 9027, HIP 117541, TYC 5831-619-1, Gaia EDR3- 2434686809709175808"
HD 209522,Piscis Austrinus,"HR 8408, NSV 14011, HIP 108975, TYC 6957-1565-1, Gaia EDR3- 6619440159652409728"
HD 78366,Lynx,"HR 3625, HIP 44897, TYC 2495-846-1, Gaia EDR3- 714116137767540096"
HD 58579,Gemini,"61-Gem, HR 2837, NSV 3592, HIP 36156, TYC 1355-489-1"
HD 94672,Leo,"55-Leo, HR 4265, HIP 53423, TYC 255-1197-1"
HD 102590,Leo,"HR 4531, NSV 5344, HIP 57606, TYC 870-989-1, Gaia EDR3- 3923191422165480448"
HD 165185,Sagittarius,"HR 6748, HIP 88694, TYC 7403-6261-1, Gaia EDR3- 4038724053986441856"
HD 159877,Serpens Cauda,"HR 6562, HIP 86266, TYC 6248-1370-1, Gaia EDR3- 4125160094597287936"
HD 3229,Cetus,"14-Cet, HR 143, HIP 2787, TYC 4672-1255-1, Gaia EDR3- 2542768012447142784"
HD 194193,Cygnus,"HR 7800, HIP 100501, TYC 3156-2220-1, Gaia EDR3- 2068328710703917696"
HD 10142,Sculptor,"HR 471, HIP 7643, TYC 7005-2270-1, Gaia EDR3- 5010675118584277248"
HD 75732,Cancer,"Copernicus, ρ¹-Cnc, 55-Cnc, HR 3522, HIP 43587, TYC 1949-2012-1, Gaia EDR3- 704967037090946688"
HD 50445,Puppis,"HR 2558, HIP 32938, TYC 7100-2242-1, Gaia EDR3- 5578901662668400640"
HD 223825,Pisces,"24-Psc, HR 9041, HIP 117761, TYC 5256-186-1, Gaia EDR3- 2448904800727567232"
HD 120213,Chamaeleon,"HR 5188, HIP 68009, TYC 9508-793-1, Gaia EDR3- 5771031905054773376"
HD 224361,Tucana,"HR 9060, HIP 118092, TYC 9130-1669-1"
HD 56207,Monoceros,"HR 2752, HIP 35127, TYC 5398-3010-1, Gaia EDR3- 3047080186133007872"
HD 111973,Crux,"κ-Cru, HR 4890, HIP 62931, TYC 8989-3110-1, Gaia EDR3- 6056404410020246400"
HD 193472,Delphinus,"HR 7774, HIP 100256, TYC 1086-2192-1, Gaia EDR3- 1804838720569928448"
HD 70839,Carina,"HR 3293, HIP 40932, TYC 8575-1548-1, Gaia EDR3- 5315438095173290240"
HD 71863,Volans,"HR 3346, HIP 41321, TYC 8933-2929-1, Gaia EDR3- 5276224837600562816"
HD 216608,Lacerta,"HR 8708, HIP 113048, TYC 3227-3864-1, Gaia EDR3- 1935556428178828672"
HD 39051,Orion,"HR 2019, HIP 27560, TYC 124-1762-1, Gaia EDR3- 3319644995481568640"
HD 106068,Crux,"HR 4644, HIP 59517, TYC 8978-5899-1, Gaia EDR3- 6054416870941383296"
HD 52711,Gemini,"HR 2643, HIP 34017, TYC 1907-321-1, Gaia EDR3- 887822001246832384"
HD 139211,Norma,"HR 5803, HIP 76716, TYC 8708-1079-1, Gaia EDR3- 5833702727880302592"
HD 76579,Hydra,"HR 3564, NSV 4321, HIP 43899, TYC 6014-727-1, Gaia EDR3- 5729969440722976768"
HD 166865,Draco,"40-Dra, HR 6809, NSV 10205, HIP 88127, TYC 4578-1434-1, Gaia EDR3- 2294405721759384064"
HD 43544,Canis Major,"HR 2249, NSV 2891, HIP 29771, TYC 5934-2739-1, Gaia EDR3- 2944674731133121536"
HD 16769,Cassiopeia,"HR 791, HIP 12821, TYC 4312-1404-1, Gaia EDR3- 517534664294712960"
HD 145689,Triangulum Australe,"HR 6037, HIP 79797, TYC 9273-4870-1, Gaia EDR3- 5821125860988362752"
HD 46480,Lynx,"8-Lyn, HR 2394, HIP 31676, TYC 4097-1176-1, Gaia EDR3- 1003703727881026304"
HD 177406,Telescopium,"HR 7223, HIP 93862, TYC 8378-2940-1, Gaia EDR3- 6661700129586273408"
