star_name,star_constellation,star_other_name
HD 203280,Cepheus,"Alderamin, α-Cep, 5-Cep, HR 8162, NSV 13660, HIP 105199, TYC 4252-1870-1"
HD 217906,Pegasus,"Scheat, β-Peg, 53-Peg, HR 8775, HIP 113881, TYC 2243-1831-1"
HD 81188,Vela,"κ-Vel, HR 3734, HIP 45941, TYC 8588-4200-1, Gaia EDR3- 5310393535853560576"
HD 218045,Pegasus,"Markab, α-Peg, 54-Peg, HR 8781, NSV 14417, HIP 113963, TYC 1711-2475-1"
HD 105435,Centaurus,"δ-Cen, HR 4621, HIP 59196, TYC 8241-3235-1"
HD 121263,Centaurus,"ζ-Cen, HR 5231, HIP 68002, TYC 8267-3545-1"
HD 18884,Cetus,"Menkar, α-Cet, 92-Cet, HR 911, HIP 14135, TYC 58-1618-1"
HD 97603,Leo,"Zosma, δ-Leo, 68-Leo, HR 4357, NSV 5143, HIP 54872, TYC 1439-2479-1"
HD 149757,Ophiuchus,"ζ-Oph, 13-Oph, HR 6175, HIP 81377, TYC 5632-1042-1, Gaia EDR3- 4337352305320149760"
HD 36673,Lepus,"Arneb, α-Lep, 11-Lep, HR 1865, NSV 2128, HIP 25985, TYC 5920-1685-1, Gaia EDR3- 2971266110612490624"
HD 106625,Corvus,"Gienah, γ-Crv, 4-Crv, HR 4662, NSV 5515, HIP 59803, TYC 6098-1754-1"
HD 176687,Sagittarius,"Ascella, ζ-Sgr, 38-Sgr, HR 7194, HIP 93506, TYC 6885-2837-1, Gaia EDR3- 6760703042771435136"
HD 176687,Sagittarius,"Ascella, ζ-Sgr, 38-Sgr, HR 7194, HIP 93506, TYC 6885-2837-1, Gaia EDR3- 6760703042771435136"
HD 144217,Scorpius,"Acrab, β¹-Sco, 8-Sco, HR 5984, NSV 7424, HIP 78820, TYC 6208-1623-1"
HD 132058,Lupus,"β-Lup, HR 5571, HIP 73273, TYC 7832-2490-1, Gaia EDR3- 5908509891197204480"
HD 140573,Serpens Caput,"Unukalhai, α-Ser, 24-Ser, HR 5854, HIP 77070, TYC 363-1135-1, Gaia EDR3- 4429785739602747392"
HD 109668,Musca,"α-Mus, HR 4798, HIP 61585, TYC 9228-3049-1"
HD 158408,Scorpius,"Lesath, υ-Sco, 34-Sco, HR 6508, HIP 85696, TYC 7387-1249-1"
HD 40312,Auriga,"θ-Aur, 37-Aur, HR 2095, HIP 28380, TYC 2418-1573-1"
HD 11636,Aries,"Sheratan, β-Ari, 6-Ari, HR 553, NSV 658, HIP 8903, TYC 1212-1935-1"
HD 37795,Columba,"Phact, α-Col, HR 1956, NSV 2549, HIP 26634, TYC 7064-1357-1, Gaia EDR3- 2900546759663847168"
HD 109379,Corvus,"β-Crv, 9-Crv, HR 4786, NSV 5729, HIP 61359, TYC 6683-1116-1, Gaia EDR3- 3501215734352781440"
HD 31398,Auriga,"ι-Aur, 3-Aur, HR 1577, NSV 1778, HIP 23015, TYC 2391-1446-1, Gaia EDR3- 160886283751041408"
HD 168454,Sagittarius,"Kaus Media, δ-Sgr, 19-Sgr, HR 6859, HIP 89931, TYC 6856-2170-1, Gaia EDR3- 4049506483413484672"
HD 8538,Cassiopeia,"Ruchbah, δ-Cas, 37-Cas, HR 403, HIP 6686, TYC 4031-3289-1, Gaia EDR3- 510204838759030144"
HD 121370,Bootes,"Muphrid, η-Boo, 8-Boo, HR 5235, HIP 67927, TYC 1470-1157-1"
HD 56855,Puppis,"π-Pup, HR 2773, NSV 3515, HIP 35264, TYC 7115-3019-1, Gaia EDR3- 5589311357728452608"
HD 186791,Aquila,"Tarazed, γ-Aql, 50-Aql, HR 7525, HIP 97278, TYC 1061-2577-1, Gaia EDR3- 4302054339959905920"
HD 129989,Bootes,"Izar, ε-Boo, 36-Boo, HR 5506"
HD 93497,Vela,"μ-Vel, HR 4216, HIP 52727, TYC 8206-3033-1"
HD 115892,Centaurus,"ι-Cen, HR 5028, HIP 65109, TYC 7275-2074-1"
HD 130841,Libra,"Zubenelgenubi, α²-Lib, 9-Lib, HR 5531, NSV 6827, HIP 72622, TYC 6155-1210-1"
HD 146051,Ophiuchus,"Yed Prior, δ-Oph, 1-Oph, HR 6056, NSV 7556, HIP 79593, TYC 5037-1068-1, Gaia EDR3- 4357027756659697664"
HD 148387,Draco,"η-Dra, 14-Dra, HR 6132, NSV 7713, HIP 80331, TYC 4190-2568-1, Gaia EDR3- 1625209684868707328"
HD 106490,Crux,"δ-Cru, HR 4656, HIP 59747, TYC 8645-2263-1, Gaia EDR3- 6071060144089351808"
HD 93030,Carina,"θ-Car, HR 4199, HIP 52419, TYC 8965-1765-1, Gaia EDR3- 5239828735016184448"
HD 110379,Virgo,"Porrima, γ-Vir, 29-Vir, HR 4825, NSV 5859, HIP 61941"
HD 161096,Ophiuchus,"Cebalrai, β-Oph, 60-Oph, HR 6603, HIP 86742, TYC 423-1724-1, Gaia EDR3- 4473334474604992384"
HD 149438,Scorpius,"τ-Sco, 23-Sco, HR 6165, HIP 81266, TYC 6807-1012-1, Gaia EDR3- 6044420729667868928"
HD 37043,Orion,"ι-Ori, 44-Ori, HR 1899, NSV 2334, HIP 26241, TYC 4778-1401-1"
HD 148856,Hercules,"Kornephoros, β-Her, 27-Her, HR 6148, NSV 7778, HIP 80816, TYC 1518-1442-1, Gaia EDR3- 1297565458994346240"
HD 33111,Eridanus,"Cursa, β-Eri, 67-Eri, HR 1666, NSV 1841, HIP 23875, TYC 4759-1671-1"
HD 2151,Hydrus,"β-Hyi, HR 98, NSV 161, HIP 2021, TYC 9350-1626-1, Gaia EDR3- 4683897617110115200"
HD 159181,Draco,"Rastaban, β-Dra, 23-Dra, HR 6536, HIP 85670, TYC 3521-1800-1, Gaia EDR3- 1415230383034813824"
HD 158427,Ara,"α-Ara, HR 6510, NSV 8999, HIP 85792, TYC 8350-2600-1"
HD 157244,Ara,"β-Ara, HR 6461, HIP 85258, TYC 8732-2866-1, Gaia EDR3- 5922444483103229952"
HD 169916,Sagittarius,"Kaus Borealis, λ-Sgr, 22-Sgr, HR 6913, HIP 90496, TYC 6861-3180-1, Gaia EDR3- 4076915349846977664"
HD 110304,Centaurus,"γ-Cen, HR 4819, HIP 61932, TYC 8240-2724-1"
HD 113226,Virgo,"Vindemiatrix, ε-Vir, 47-Vir, HR 4932, NSV 6064, HIP 63608, TYC 886-1326-1, Gaia EDR3- 3736865265441207424"
HD 67523,Puppis,"Tureis, ρ-Pup, 15-Pup, HR 3185, HIP 39757, TYC 6555-3245-1, Gaia EDR3- 5698015743046182272"
HD 886,Pegasus,"Algenib, γ-Peg, 88-Peg, HR 39, HIP 1067, TYC 1179-1775-1, Gaia EDR3- 2769202742740232960"
HD 36079,Lepus,"Nihal, β-Lep, 9-Lep, HR 1829, NSV 2008, HIP 25606, TYC 5928-1657-1, Gaia EDR3- 2968097043227107840"
HD 141891,Triangulum Australe,"β-TrA, HR 5897, HIP 77952, TYC 9027-5712-1, Gaia EDR3- 5826168461855385472"
HD 135382,Triangulum Australe,"γ-TrA, HR 5671, NSV 7008, HIP 74946, TYC 9259-4905-1, Gaia EDR3- 5823248090239625088"
HD 211416,Tucana,"α-Tuc, HR 8502, HIP 110130, TYC 9117-1947-1"
HD 24398,Perseus,"ζ-Per, 44-Per, HR 1203, NSV 1397, HIP 18246, TYC 2361-2820-1, Gaia EDR3- 168726523212358272"
HD 150680,Hercules,"ζ-Her, 40-Her, HR 6212, NSV 7915, HIP 81693, TYC 2582-3158-1"
HD 207098,Capricornus,"δ-Cap, 49-Cap, HR 8322, HIP 107556, TYC 6363-1044-1, Gaia EDR3- 6838311796136238976"
HD 12311,Hydrus,"α-Hyi, HR 591, HIP 9236, TYC 8851-2027-1"
HD 23630,Taurus,"Alcyone, η-Tau, 25-Tau, HR 1165, HIP 17702, TYC 1800-2202-1, Gaia EDR3- 66714384142368256"
HD 60178,Gemini,"α-Gem, 66-Gem, HR 2890"
HD 58715,Canis Minor,"Gomeisa, β-CMi, 3-CMi, HR 2845, HIP 36188, TYC 764-2774-1"
HD 112413,Canes Venatici,"Cor Caroli, α²-CVn, 12-CVn, HR 4915, HIP 63125, TYC 3021-2645-1, Gaia EDR3- 1517698716348324992"
HD 143018,Scorpius,"π-Sco, 6-Sco, HR 5944, NSV 7371, HIP 78265, TYC 6783-2697-1, Gaia EDR3- 6235406071207202688"
HD 204867,Aquarius,"Sadalsuud, β-Aqr, 22-Aqr, HR 8232, HIP 106278, TYC 5216-1725-1, Gaia EDR3- 2671038928727970944"
HD 44478,Gemini,"μ-Gem, 13-Gem, HR 2286, HIP 30343, TYC 1878-1429-1"
HD 178524,Sagittarius,"π-Sgr, 41-Sgr, HR 7264, NSV 11769, HIP 94141, TYC 6295-282-1, Gaia EDR3- 4082115215112774272"
HD 147165,Scorpius,"σ-Sco, 20-Sco, HR 6084, HIP 80112, TYC 6798-540-1, Gaia EDR3- 6048602103663486592"
HD 24760,Perseus,"ε-Per, 45-Per, HR 1220, HIP 18532, TYC 2868-1623-1"
HD 186882,Cygnus,"δ-Cyg, 18-Cyg, HR 7528, NSV 12380, HIP 97165, TYC 3557-2486-1, Gaia EDR3- 2079784488001577600"
HD 50310,Puppis,"τ-Pup, HR 2553, HIP 32768, TYC 8125-2314-1"
HD 215182,Pegasus,"Matar, η-Peg, 44-Peg, HR 8650, NSV 14285, HIP 112158, TYC 2736-1823-1"
HD 209750,Aquarius,"Sadalmelik, α-Aqr, 34-Aqr, HR 8414, HIP 109074, TYC 5224-1806-1, Gaia EDR3- 2680356911816018048"
HD 18925,Perseus,"γ-Per, 23-Per, HR 915, HIP 14328, TYC 3701-1393-1"
HD 177724,Aquila,"ζ-Aql, 17-Aql, HR 7235, NSV 11724, HIP 93747, TYC 1052-3027-1, Gaia EDR3- 4314399312979641728"
HD 25025,Eridanus,"Zaurak, γ-Eri, 34-Eri, HR 1231, HIP 18543, TYC 5311-1285-1"
HD 165135,Sagittarius,"Alnasl, γ-Sgr, 10-Sgr, HR 6746, NSV 10173, HIP 88635, TYC 7391-2710-1"
HD 84441,Leo,"ε-Leo, 17-Leo, HR 3873, NSV 4613, HIP 47908, TYC 1960-1550-1, Gaia EDR3- 641662895638787584"
HD 108767,Corvus,"Algorab, δ-Crv, 7-Crv, HR 4757, NSV 5656, HIP 60965, TYC 6103-2395-1, Gaia EDR3- 3520586071217872896"
HD 138690,Lupus,"γ-Lup, HR 5776, HIP 76297, TYC 7840-1432-1, Gaia EDR3- 6002777448330124160"
HD 207971,Grus,"γ-Gru, HR 8353, HIP 108085, TYC 7494-1748-1"
HD 48329,Gemini,"Mebsuta, ε-Gem, 27-Gem, HR 2473, NSV 3183, HIP 32246, TYC 1897-1639-1, Gaia EDR3- 3384529341302871296"
HD 96833,Ursa Major,"ψ-UMa, 52-UMa, HR 4335, HIP 54539, TYC 3012-2519-1, Gaia EDR3- 779106556394253824"
HD 85123,Carina,"υ-Car, HR 3890, HIP 48002, TYC 8950-2272-1, Gaia EDR3- 5249119024128109952"
HD 37202,Taurus,"ζ-Tau, 123-Tau, HR 1910, HIP 26451, TYC 1310-2697-1, Gaia EDR3- 3402918982515591168"
HD 115659,Hydra,"γ-Hya, 46-Hya, HR 5020, NSV 6180, HIP 64962, TYC 6700-1436-1, Gaia EDR3- 6194563955869054848"
HD 151890,Scorpius,"μ¹-Sco, HR 6247, HIP 82514, TYC 7868-1821-1"
HD 13161,Triangulum,"β-Tri, 4-Tri, HR 622, HIP 10064, TYC 2317-1647-1"
HD 161471,Scorpius,"ι¹-Sco, HR 6615, HIP 87073, TYC 7889-2669-1, Gaia EDR3- 5958043164999014400"
HD 53138,Canis Major,"O²-CMa, 24-CMa, HR 2653, HIP 33977, TYC 6523-3722-1, Gaia EDR3- 2921635736292220800"
HD 105707,Corvus,"ε-Crv, 2-Crv, HR 4630, NSV 5483, HIP 59316, TYC 6668-992-1, Gaia EDR3- 3490234568129160704"
HD 22928,Perseus,"δ-Per, 39-Per, HR 1122, HIP 17358, TYC 3317-3034-1"
HD 44402,Canis Major,"Furud, ζ-CMa, 1-CMa, HR 2282, NSV 2927, HIP 30122, TYC 7073-2426-1, Gaia EDR3- 2896572746685604480"
HD 31964,Auriga,"ε-Aur, 7-Aur, HR 1605, HIP 23416, TYC 2907-1275-1, Gaia EDR3- 205499655242974464"
HD 137422,Ursa Minor,"Pherkad, γ-UMi, 13-UMi, HR 5735, HIP 75097, TYC 4414-2314-1"
HD 127762,Bootes,"Seginus, γ-Boo, 27-Boo, HR 5435, HIP 71075, TYC 3036-1151-1"
HD 89758,Ursa Major,"Tania Australis, μ-UMa, 34-UMa, HR 4069, NSV 4829, HIP 50801, TYC 3004-1418-1"
HD 180711,Draco,"Altais, δ-Dra, 57-Dra, HR 7310, HIP 94376, TYC 4444-2239-1, Gaia EDR3- 2255173119658513408"
HD 183912,Cygnus,"Albireo, β¹-Cyg, 6-Cyg, HR 7417, NSV 12105, HIP 95947, TYC 2133-2964-1"
HD 193495,Capricornus,"Dabih, β-Cap, 9-Cap, HR 7776, HIP 100345, TYC 5753-2281-1"
HD 110879,Musca,"β-Mus, HR 4844, HIP 62322, TYC 9228-3047-1"
HD 100841,Centaurus,"λ-Cen, HR 4467, HIP 56561, TYC 8976-5383-1"
HD 132200,Centaurus,"κ-Cen, HR 5576, NSV 6873, HIP 73334, TYC 7828-3520-1, Gaia EDR3- 5908713025970995584"
HD 196171,Indus,"α-Ind, HR 7869, HIP 101772, TYC 8411-1822-1, Gaia EDR3- 6674382927491854848"
HD 152786,Ara,"ζ-Ara, HR 6285, HIP 83081, TYC 8730-1439-1, Gaia EDR3- 5917537534527580160"
HD 76294,Hydra,"ζ-Hya, 16-Hya, HR 3547, HIP 43813, TYC 225-1116-1, Gaia EDR3- 583588100209595776"
HD 156164,Hercules,"Sarin, δ-Her, 65-Her, HR 6410, NSV 8419, HIP 84379, TYC 2065-1930-1, Gaia EDR3- 4573412435280434560"
HD 39425,Columba,"Wazn, β-Col, HR 2040, HIP 27628, TYC 7069-1482-1, Gaia EDR3- 2887731882922767744"
HD 93813,Hydra,"ν-Hya, HR 4232, HIP 52943, TYC 6075-1831-1, Gaia EDR3- 3557567320183657472"
HD 80493,Lynx,"α-Lyn, 40-Lyn, HR 3705, NSV 4456, HIP 45860, TYC 2496-1728-1"
HD 167618,Sagittarius,"η-Sgr, HR 6832, HIP 89642, TYC 7404-7057-1"
HD 173300,Sagittarius,"φ-Sgr, 27-Sgr, HR 7039, HIP 92041, TYC 6867-2428-1, Gaia EDR3- 4072953671943400832"
HD 156283,Hercules,"π-Her, 67-Her, HR 6418, NSV 8431, HIP 84380, TYC 2604-1774-1, Gaia EDR3- 1339952869195300608"
HD 76644,Ursa Major,"Talitha, ι-UMa, 9-UMa, HR 3569, NSV 4329, HIP 44127, TYC 3420-2149-1, Gaia EDR3- 1014058103758571520"
HD 47670,Puppis,"ν-Pup, HR 2451, NSV 3062, HIP 31685, TYC 7626-2203-1, Gaia EDR3- 5557271829408912896"
HD 82668,Vela,"N Vel, N-Vel, HR 3803, HIP 46701, TYC 8592-2561-1, Gaia EDR3- 5306951892646516992"
HD 128898,Circinus,"α-Cir, HR 5463, HIP 71908, TYC 9015-1445-1"
HD 32630,Auriga,"η-Aur, 10-Aur, HR 1641, NSV 1822, HIP 23767, TYC 2899-2237-1, Gaia EDR3- 201261278441958656"
HD 32887,Lepus,"ε-Lep, 2-Lep, HR 1654, NSV 1826, HIP 23685, TYC 5913-1374-1"
HD 136298,Lupus,"δ-Lup, HR 5695, HIP 75141, TYC 7839-2803-1"
HD 30652,Orion,"π³-Ori, 1-Ori, HR 1543, NSV 1731, HIP 22449, TYC 96-1462-1, Gaia EDR3- 3288921720025503360"
HD 82328,Ursa Major,"θ-UMa, 25-UMa, HR 3775, NSV 4519, HIP 46853, TYC 3432-1451-1"
HD 155763,Draco,"ζ-Dra, 22-Dra, HR 6396, HIP 83895, TYC 4210-1048-1"
HD 153210,Ophiuchus,"κ-Oph, 27-Oph, HR 6299, HIP 83000, TYC 979-2198-1, Gaia EDR3- 4444057469252265984"
